id,smiles,epa,0_x,1_x,2_x,3_x,mlp prediction,0_y,1_y,2_y,3_y,rnn prediction,0,1,2,3,cnn prediction
molid5146,CNCC(O)c1ccc(O)c(O)c1,0.0,0.30703273,0.33631188,0.23350415,0.12315133,1,0.521403,0.20727399999999999,0.192349,0.07897389999999999,0,0.324438,0.274457,0.255745,0.14536,0.0
molid5268,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,1.0,0.39060768,0.33701175,0.19111148,0.08126913,0,0.613649,0.24385,0.118028,0.0244727,0,0.174625,0.356429,0.322938,0.146009,1.0
molid7312,Cc1ccc2c(c1)CC(=O)c1cc(C(C)C(=O)O)ccc1O2,1.0,0.24959978,0.43134913,0.24349514,0.075555995,1,0.024272400000000003,0.357607,0.44033199999999995,0.177789,2,0.165724,0.342505,0.33117199999999997,0.160598,1.0
molid7421,C,2.0,0.09055845400000001,0.21806416,0.33103332,0.36034405,3,0.0781138,0.2925,0.400486,0.2289,2,0.251332,0.327337,0.281929,0.139403,1.0
molid1,O=[N+]([O-])c1ccc(Cl)cc1,1.0,0.4983747,0.32659885,0.133849,0.04117742,0,0.0402926,0.532924,0.36049200000000003,0.0662909,1,0.105723,0.39134,0.391717,0.111221,2.0
molid15,C=CC1CC=CCC1,2.0,0.12581691,0.27800992,0.33239776,0.26377535,2,0.00244604,0.139915,0.46806499999999995,0.389575,2,0.165909,0.328845,0.346665,0.158582,2.0
molid20,O=Cc1ccccc1,2.0,0.01754621,0.29286388,0.46478203,0.22480789,2,0.00515918,0.246923,0.532529,0.215389,2,0.11950699999999999,0.360218,0.387884,0.132391,2.0
molid35,CCCCCCCCCCCCN=C(O)C[N+](C)(C)Cc1ccccc1,1.0,0.06841408,0.31354612,0.37994212,0.23809774,2,0.021374200000000003,0.327558,0.47603500000000004,0.175033,2,0.021504099999999998,0.163378,0.369481,0.445637,3.0
molid36,C1N2CN3CN1CN(C2)C3,3.0,0.6764153,0.2180366,0.07835327,0.02719479,0,0.323088,0.510722,0.146732,0.0194578,1,0.196469,0.309977,0.316697,0.176857,2.0
molid66,CCC12COP(=O)(OC1)OC2,0.0,0.83118284,0.09942064,0.041652106,0.027744400000000002,0,0.349787,0.37906100000000004,0.194122,0.07703020000000001,1,,,,,
molid67,c1ccc(Oc2nncc3ccccc23)cc1,2.0,0.03239453,0.26812834,0.42333940000000003,0.2761378,2,0.00965334,0.239556,0.518734,0.232057,2,0.0826298,0.35029499999999997,0.384914,0.182162,2.0
molid91,O=C(Nc1cccc(Cl)c1)OCC#CCCl,2.0,0.41283792,0.35126907,0.1739282,0.06196481,0,0.091223,0.5332560000000001,0.305516,0.0700053,1,0.0602322,0.442117,0.40410100000000004,0.0935492,1.0
molid95,CN(C)C(=O)Nc1ccccc1,3.0,0.06085187,0.32501763,0.39777678,0.21635364,2,0.0960541,0.476484,0.395183,0.0322791,1,0.23867399999999997,0.305756,0.29833000000000004,0.15724000000000002,1.0
molid100,CC(C)Nc1ccc(Nc2ccccc2)cc1,2.0,0.065444686,0.30379638,0.38867456,0.24208446,2,0.09491110000000001,0.39287,0.430291,0.0819278,2,0.142002,0.354979,0.352134,0.150885,1.0
molid106,c1ccc(Oc2ccccc2)cc1,2.0,0.020684896,0.22098647,0.43018025,0.32814840000000006,2,0.0177236,0.313929,0.48174300000000003,0.186604,2,0.0483897,0.33358899999999997,0.419542,0.198479,2.0
molid112,CCOC(=O)Cc1ccccc1,2.0,0.067647986,0.26245815,0.37681788,0.29307604,2,0.00354063,0.150345,0.49103100000000005,0.355083,2,0.213211,0.32415,0.312006,0.150633,1.0
molid122,Cl[Si](Cl)(Cl)C1CC=CCC1,2.0,0.48552766,0.38219759999999997,0.11194859,0.020326259,0,0.194414,0.426741,0.297671,0.0811748,1,0.200006,0.413441,0.28948,0.097073,1.0
molid127,CC(CN)NCCO,2.0,0.22265339,0.25477874,0.27223223,0.25033557,2,0.0644125,0.6762229999999999,0.24015999999999998,0.0192046,1,0.07422580000000001,0.173005,0.330395,0.42237399999999997,3.0
molid137,CCOCC(Cl)C(OCC)OCC,2.0,0.17498048,0.26173377,0.29823142,0.26505435,2,0.500907,0.38156999999999996,0.0975755,0.019947799999999998,0,0.543346,0.277172,0.116718,0.0627635,0.0
molid139,CC(CC(C)(C)O)OCCC#N,2.0,0.20449413,0.2798157,0.28739274,0.22829737,2,0.28079699999999996,0.355106,0.25512399999999996,0.108972,1,0.10182999999999999,0.18423,0.33811599999999997,0.375824,3.0
molid141,CCCCC(CC)COCC(CC)CCCC,3.0,0.008090633,0.081493735,0.30392388,0.60649174,3,0.00289447,0.037279400000000004,0.23777199999999998,0.722054,3,0.0698261,0.146425,0.31913400000000003,0.464614,3.0
molid144,COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC,1.0,0.119817376,0.40033278,0.33682844,0.14302143,1,0.0238277,0.42988999999999994,0.460599,0.0856838,2,0.157896,0.293686,0.290534,0.257885,1.0
molid145,CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,2.0,0.28815609999999997,0.28697318,0.24762315,0.17724758,0,0.00165327,0.07833380000000001,0.416513,0.5035,3,0.0660082,0.15708,0.336992,0.43992,3.0
molid163,N=C(Nc1ccccc1)Nc1ccccc1,1.0,0.039479706,0.25059410000000004,0.40302005,0.30690609999999996,2,0.0141274,0.332596,0.546668,0.106609,2,0.0421689,0.274016,0.39112399999999997,0.292691,2.0
molid164,O=C(Oc1ccccc1)Oc1ccccc1,2.0,0.045106035,0.21015276,0.37554792,0.3691933,2,0.00391738,0.173251,0.50672,0.316112,2,0.061349400000000005,0.24679099999999998,0.37880199999999997,0.31305700000000003,2.0
molid180,CCC(CC)COCCC(=O)O,2.0,0.023418156000000002,0.118197724,0.32176536,0.53661877,3,0.21165599999999998,0.0899804,0.22925500000000001,0.46910799999999997,3,0.116677,0.16531600000000002,0.314406,0.40360100000000004,3.0
molid185,CCc1cnc(C(=O)O)c(C(=O)O)c1,2.0,0.004018101,0.065831915,0.3083926,0.6217574,3,0.0776153,0.0824847,0.306674,0.533226,3,0.162287,0.329075,0.346083,0.162556,2.0
molid218,CC(C)C(=O)OCc1ccccc1,2.0,0.031097222,0.19508037,0.38963073,0.38419163,2,0.00397892,0.123195,0.43658100000000005,0.436245,2,0.189064,0.32239,0.327839,0.160707,2.0
molid221,C1CN(SSN2CCOCC2)CCO1,2.0,0.03466623,0.2615347,0.42095357,0.28284556,2,0.6030800000000001,0.263996,0.112821,0.020102900000000003,0,0.30546100000000004,0.366438,0.22334600000000002,0.104754,1.0
molid229,c1ccc(COCc2ccccc2)cc1,2.0,0.07197297,0.25762248,0.37131017,0.29909444,2,0.0100424,0.299008,0.500908,0.19004200000000002,2,0.00941564,0.222381,0.415245,0.352958,2.0
molid251,CCOC1OC(C(COCc2ccccc2)OCc2ccccc2)C(OCc2ccccc2)C1O,3.0,0.04967386,0.14407578,0.30837129999999996,0.497879,3,0.00385379,0.0936693,0.46651499999999996,0.435962,2,0.186368,0.27971599999999996,0.272971,0.260945,1.0
molid266,CC(C)(N)Cc1ccccc1Cl,1.0,0.11731121,0.43042466,0.33563185,0.11663232,1,0.100796,0.5114850000000001,0.345582,0.042136599999999996,1,0.12793,0.42115,0.357272,0.0936478,1.0
molid292,Cc1ccc(C=O)cc1,2.0,0.010893201000000002,0.2799697,0.4865108,0.22262633,2,0.0185132,0.208752,0.451349,0.321386,2,0.106146,0.361153,0.398266,0.134435,2.0
molid294,CCc1ccc(C)nc1,1.0,0.095203295,0.45483887,0.3447969,0.10516096,1,0.0184254,0.363575,0.48087700000000005,0.137122,2,0.11440399999999999,0.355504,0.39368000000000003,0.13641199999999998,2.0
molid302,CCC(C)(O)CCc1ccccc1,2.0,0.04496761,0.30751768,0.41356286,0.23395185,2,0.00487297,0.122201,0.43496999999999997,0.43795600000000007,3,0.197921,0.315249,0.322677,0.164153,2.0
molid307,ClCC(Cl)=C(Cl)Cl,1.0,0.35143638,0.43520325,0.17406765,0.039292783,1,0.364735,0.459372,0.15120799999999998,0.0246848,1,0.222825,0.375118,0.2829,0.11915799999999999,1.0
molid345,Cc1ccc(O)c(C)c1,2.0,0.078320794,0.3902501,0.3750848,0.15634438,1,0.17666600000000002,0.23385100000000003,0.354071,0.23541199999999998,2,0.120983,0.34594600000000003,0.392368,0.140703,2.0
molid368,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,2.0,0.06511548,0.2700325,0.37905958,0.28579253,2,0.25135,0.262189,0.31212399999999996,0.17433800000000002,2,0.045204,0.320042,0.402092,0.23266199999999998,2.0
molid402,C=CC(=O)OCCC#N,1.0,0.3869342,0.35596058,0.18624361,0.07086156,0,0.290709,0.42739099999999997,0.230609,0.05129159999999999,1,0.118551,0.241125,0.33843,0.301894,2.0
molid411,BrCCBr,1.0,0.28396288,0.3465816,0.24685912,0.12259638,1,0.06265470000000001,0.656799,0.21861599999999998,0.0619295,1,0.331681,0.372139,0.199954,0.09622589999999999,1.0
molid433,C=C[Si](OCCOC)(OCCOC)OCCOC,2.0,0.24135672,0.25727913,0.265337,0.23602717,2,0.0126875,0.030070799999999998,0.23849499999999998,0.718747,3,0.203726,0.179805,0.286362,0.33010700000000004,3.0
molid434,CCO[Si](C)(CCCC#N)OCC,2.0,0.23621957,0.303678,0.27265912,0.18744332,1,0.010709200000000002,0.028907,0.26653899999999997,0.6938439999999999,3,0.176762,0.180277,0.304309,0.33865100000000004,3.0
molid439,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,3.0,0.03438434,0.20774506,0.39528826,0.36258233,2,0.0790044,0.241965,0.367981,0.31105,2,0.0781239,0.281738,0.38904299999999997,0.251096,2.0
molid446,CCCN,1.0,0.11748377,0.27810690000000005,0.3356287,0.26878068,2,0.0730556,0.53657,0.36348400000000003,0.0268906,1,0.163767,0.252459,0.32150500000000004,0.26226900000000003,2.0
molid501,CC(C)CC(C)O,2.0,0.03500181,0.13832065,0.3245128,0.5021647,3,0.028135900000000005,0.044363400000000004,0.21296199999999998,0.714539,3,0.15012899999999998,0.20954699999999998,0.320196,0.320128,2.0
molid507,CC(=O)OC(C)=O,2.0,0.14694256,0.25936976,0.3138651,0.2798226,2,0.35566,0.0863602,0.1702,0.38778,3,0.135602,0.21033200000000002,0.325814,0.328252,3.0
molid526,Clc1cc(Cl)cc(Cl)c1,2.0,0.23277317,0.39974335,0.26501572,0.102467746,1,0.223359,0.398816,0.268004,0.109821,1,0.21534499999999998,0.417575,0.27916399999999997,0.08791689999999999,1.0
molid543,CCOP(=O)(OCC)SCC1(C)SCCS1,0.0,0.94930375,0.044136018,0.005481260999999999,0.001078881,0,0.885217,0.0988049,0.0127245,0.00325314,0,0.5784819999999999,0.264397,0.0997305,0.0573908,0.0
molid568,CN(C)CCCN,2.0,0.2514251,0.36857644,0.258583,0.12141546,1,0.29370300000000005,0.405114,0.278505,0.022677799999999998,1,0.11561099999999999,0.228777,0.3338,0.321812,2.0
molid572,C=CCCC,2.0,0.13111283,0.33083320000000005,0.33428165,0.20377237,2,0.00170128,0.09510700000000001,0.379601,0.523591,3,0.19106900000000002,0.290912,0.315328,0.202691,2.0
molid575,N#CCCO,2.0,0.37236986,0.35213378,0.19597837,0.07951802,0,0.44632299999999997,0.384855,0.154792,0.014030200000000001,0,0.178749,0.322994,0.337644,0.160613,2.0
molid583,CCCCCCCOCC(C)CC=O,2.0,0.0014180070000000002,0.04291603,0.2709193,0.6847466,3,0.014790200000000002,0.051193300000000004,0.23481999999999997,0.699196,3,0.0516263,0.142977,0.31688099999999997,0.488516,3.0
molid596,CC(=O)CCC(C)=O,2.0,0.109228045,0.25808606,0.3390744,0.29361149999999997,2,0.0997534,0.052395699999999996,0.20477,0.643081,3,0.155049,0.22035700000000003,0.320858,0.303736,2.0
molid599,CC(=O)OCC(C)C,3.0,0.06179937,0.15964495,0.31648509999999996,0.46207064,3,0.44688100000000003,0.0543697,0.125397,0.37335300000000005,0,0.153712,0.21744499999999997,0.319844,0.309,2.0
molid618,OCC#CCO,1.0,0.25818104,0.32478395,0.26090786,0.15612720000000002,1,0.0027901999999999996,0.0630545,0.312337,0.621818,3,0.169752,0.297568,0.328277,0.204403,2.0
molid626,CCSSCC,2.0,0.37882358,0.332104,0.19780613,0.09126627,0,0.171184,0.604325,0.19769,0.0268008,1,0.293836,0.35429299999999997,0.237575,0.11429500000000001,1.0
molid632,C1COCCN1,2.0,0.044125892,0.19475354,0.36451188,0.39660865,3,0.167106,0.522497,0.283249,0.027148400000000003,1,0.159457,0.261356,0.320993,0.258194,2.0
molid640,CC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c1C)C(OC1OC(CO)C(O)C(O)C1(C)OC1OC(CO)C(O)C(O)(C(N)=O)C1O)c1cnc[nH]1)C(=O)NCCC1=NC(c2nc(C(N)=O)cs2)CS1,2.0,0.001769669,0.007949499,0.08126726,0.90901357,3,0.0470851,0.0318455,0.17363699999999999,0.747432,3,0.18293099999999998,0.134651,0.196642,0.48577700000000007,3.0
molid667,CC(=O)OCCOCCOCCOC(C)=O,3.0,0.045777615,0.12342135,0.29297740000000005,0.5378236999999999,3,0.352731,0.0873715,0.177464,0.38243299999999997,3,0.0756031,0.127112,0.296813,0.500471,3.0
molid675,CCOCCCO,3.0,0.088391334,0.21254367,0.33118427,0.36788073,3,0.00388699,0.0510456,0.282525,0.662542,3,0.119074,0.245004,0.333857,0.30206500000000003,2.0
molid680,OCCOCCO,3.0,0.14225893,0.19717982,0.28827329999999995,0.37228787,3,0.0192264,0.0616205,0.294477,0.624676,3,0.10305399999999999,0.21295999999999998,0.332477,0.351509,3.0
molid686,CCCCCCC=O,2.0,0.002378093,0.06418081,0.31984907,0.613592,3,0.00153642,0.0671278,0.290784,0.640552,3,0.0889909,0.21498,0.336185,0.359844,3.0
molid692,C=CCCCCCCCCC(=O)OC,2.0,0.012091331,0.084957406,0.29481244,0.6081388000000001,3,0.21525500000000003,0.107401,0.24439299999999997,0.43295,3,0.082331,0.190142,0.329406,0.398121,3.0
molid702,N#CCCSCCC#N,2.0,0.57273334,0.3115386,0.09486463,0.020863451,0,0.663533,0.264867,0.0638439,0.00775605,0,0.447601,0.321173,0.15423699999999999,0.07698830000000001,0.0
molid710,NCCCCC(OP(=O)(O)CCCCc1ccccc1)C(=O)N1CCCC1C(=O)O,3.0,0.09480789,0.19343804,0.31689423,0.39485985,3,0.00723183,0.267372,0.48800699999999997,0.237389,2,0.065239,0.103797,0.30278299999999997,0.528181,3.0
molid712,COP(=S)(OC)SCC(=O)O,2.0,0.5835224,0.25040460000000003,0.11640205,0.049670897,0,0.24706,0.614684,0.10815,0.0301051,1,0.714488,0.23341399999999998,0.037448300000000004,0.0146498,0.0
molid749,CCCCOCCOCCO,3.0,0.0660406,0.17385727,0.3226935,0.43740870000000004,3,0.0105339,0.046759300000000004,0.249192,0.693515,3,0.102286,0.200203,0.328869,0.368642,3.0
molid752,C=CCCCCCCCCC(=O)O,2.0,0.022394085,0.13677432,0.34623367,0.49459790000000003,3,0.0824661,0.100186,0.262355,0.5549930000000001,3,0.0960585,0.20731100000000002,0.334124,0.362507,3.0
molid756,C=CCCCCCCCCC=O,3.0,0.002252139,0.064439975,0.3212723,0.6120355,3,0.00172826,0.06175419999999999,0.287073,0.6494449999999999,3,0.07961789999999999,0.209752,0.337416,0.373214,3.0
molid757,CCCCOCCOCCCC,2.0,0.021313357999999998,0.14371718,0.35495397,0.48001558,3,0.00187449,0.0463639,0.279371,0.672391,3,0.07224960000000001,0.194378,0.334689,0.39868200000000004,3.0
molid778,CCCCCCCCCCN(C)C,2.0,0.050581135,0.23670435,0.37850684,0.33420762,2,0.021671799999999998,0.457475,0.43268100000000004,0.08817219999999999,1,0.0734307,0.183551,0.331988,0.41103,3.0
molid820,NCC(CC(=O)O)c1ccc(Cl)cc1,1.0,0.18200217,0.43022780000000005,0.28935146,0.09841859,1,0.00207318,0.152649,0.5515399999999999,0.293738,2,0.17961400000000002,0.35439899999999996,0.33002600000000004,0.135961,1.0
molid821,CCC(Oc1ccc(F)c(C(F)(F)F)c1)C(O)=NCc1ccccc1,3.0,0.2623395,0.2628204,0.25684622,0.21799396,1,0.0171393,0.32048000000000004,0.46966,0.192721,2,0.14157,0.21713400000000002,0.311752,0.329543,3.0
molid825,COC12CC(COC3=CC(=O)CC3)CN(C)C1Cc1cn(C(C)(C)C)c3cccc2c13,2.0,0.20319410000000002,0.39022598,0.28384048,0.122739375,1,0.20754899999999998,0.39452800000000005,0.314792,0.0831314,1,0.181574,0.34217800000000004,0.314537,0.161711,1.0
molid839,O=S1(=O)CCC(NC(=S)S)C1,2.0,0.49605572,0.28411055,0.15024854,0.06958514,0,0.06824329999999999,0.462751,0.3783,0.0907061,1,0.409441,0.314849,0.178492,0.0972184,0.0
molid848,C#CC(C)(C)O,2.0,0.08238916,0.43607387,0.36081803,0.12071897,1,0.07988839999999998,0.0835322,0.26174400000000003,0.574836,3,0.14887,0.282063,0.349761,0.21930700000000003,2.0
molid870,Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,3.0,0.042491565999999995,0.16633658,0.34673190000000004,0.44443998,3,0.233742,0.349366,0.27534400000000003,0.141548,1,0.207879,0.269759,0.314277,0.208085,2.0
molid872,C=CC1CCC(C2CCC(CCC)CC2)CC1,2.0,0.07220351,0.20167959,0.34164134,0.3844755,3,0.00305044,0.035223800000000006,0.272497,0.689229,3,0.076335,0.193431,0.344041,0.386193,3.0
molid884,CC(=O)c1ccc2c(c1)OCC(=O)N2C,2.0,0.32667664,0.35461754,0.22117816,0.09752774,1,0.13234100000000001,0.41789,0.347522,0.102247,1,0.17411,0.328524,0.33248099999999997,0.164885,2.0
molid889,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C,0.0,0.3555403,0.30108818,0.21559596,0.12777553,0,0.164421,0.321803,0.357429,0.156347,2,0.11691800000000001,0.36283200000000004,0.35353,0.16672,1.0
molid915,CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,3.0,0.000248261,0.005975503,0.09358677,0.90018946,3,0.00176311,0.0403934,0.278588,0.6792560000000001,3,0.017058700000000003,0.06969149999999999,0.234963,0.678287,3.0
molid923,CCOC(=S)C=Cc1ccc([N+](=O)[O-])cc1,2.0,0.5959886,0.26378453,0.1036974,0.03652948,0,0.228752,0.333868,0.278131,0.159248,1,0.615512,0.200925,0.11109200000000001,0.07247089999999999,0.0
molid932,CC1(C)C(=O)N(Cl)C(=O)N1Cl,2.0,0.44096130000000006,0.29909962,0.17467876,0.08526027,0,0.504726,0.291838,0.147505,0.055930600000000004,0,0.18326199999999998,0.48206099999999996,0.272606,0.0620707,1.0
molid934,CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,3.0,0.015304176000000001,0.121067874,0.35275206,0.5108758,3,0.00321663,0.0435434,0.278238,0.675002,3,0.0509021,0.231283,0.39628800000000003,0.321527,2.0
molid947,CCOC(=O)C(Br)C#N,1.0,0.5250971999999999,0.30749053,0.12658022,0.04083202,0,0.216473,0.362143,0.269629,0.151756,1,0.252252,0.47456099999999996,0.21330700000000002,0.05987869999999999,1.0
molid962,CC(N=O)C(=O)c1ccccc1,2.0,0.16656548,0.43140329999999993,0.2982837,0.10374757,1,0.00263577,0.173676,0.589065,0.234623,2,0.133731,0.341428,0.369635,0.15520499999999998,2.0
molid977,CC(=O)OC1C(N2CCCC2)CC2C3CCC4CC(O)C(N5CCOCC5)CC4(C)C3CCC21C,2.0,0.038862716,0.12542677,0.30665484,0.52905566,3,0.00590264,0.120029,0.45773400000000003,0.416335,2,0.20629,0.298274,0.29475999999999997,0.200677,1.0
molid988,CC=Cc1ccc(OCc2ccccc2)c(OC)c1,2.0,0.037244394,0.17314899,0.36185712,0.42774954,3,0.015572299999999999,0.201593,0.47121199999999996,0.311623,2,0.0515924,0.281943,0.375368,0.291096,2.0
molid990,CCN(CC)c1ccc(C=O)cc1,3.0,0.044271696,0.40144256,0.41064033,0.14364547,2,0.241168,0.36814600000000003,0.345603,0.0450836,1,0.221998,0.332042,0.30477,0.14119,1.0
molid997,CCC(=O)OC(C)c1ccccc1,3.0,0.02141936,0.16782688,0.38766065,0.42309309999999994,3,0.00823101,0.0661716,0.369789,0.555808,3,0.101811,0.295144,0.37838099999999997,0.224663,2.0
molid999,CCOC(=O)c1ccc(O)cc1,2.0,0.09082331,0.27199409999999996,0.35918242,0.27800006,2,0.026913799999999998,0.23610599999999998,0.43299399999999993,0.30398600000000003,2,0.248644,0.30585,0.293219,0.15228699999999998,1.0
molid1018,B12B3B4B1C234,2.0,0.45973290000000006,0.25611606,0.17074779999999998,0.11340321,0,0.0870586,0.311203,0.203025,0.398713,3,0.153081,0.34639899999999996,0.36106,0.139459,2.0
molid1025,CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)CC1=O,2.0,0.06935069,0.11898005,0.26919597,0.5424733,3,0.010127200000000001,0.08816560000000001,0.364881,0.536826,3,0.07638969999999999,0.31149699999999997,0.362212,0.249901,2.0
molid1042,CC(=O)c1cccc([N+](=O)[O-])c1,2.0,0.28995255,0.37765166,0.23558925,0.09680661,1,0.489622,0.299794,0.157854,0.052729,0,0.23553600000000002,0.307863,0.29733899999999996,0.159262,1.0
molid1047,S=C(NC1CCCCC1)NC1CCCCC1,1.0,0.22099447,0.3014874,0.28227112,0.19524698,1,0.0914951,0.414966,0.41429399999999994,0.0792454,1,0.47785500000000003,0.31948699999999997,0.13534100000000002,0.06731720000000001,0.0
molid1058,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,1.0,0.12789573,0.66128457,0.1943219,0.016497836999999998,1,0.186397,0.5220670000000001,0.259293,0.032242200000000006,1,0.16614500000000001,0.321809,0.340804,0.171243,2.0
